# =========================================================================================================================================
🇨🇳 央视/卫视「IPV6」,#genre#
# ======================= 源3
央卫,#genre# 
CCTV1「IPV4」,http://23.237.228.134/live5/CCTV1.m3u8
CCTV2「IPV4」,http://23.237.228.134/live5/CCTV2.m3u8
CCTV3「IPV4」,http://23.237.228.134/live5/CCTV3.m3u8
CCTV4「IPV4」,http://23.237.228.134/live5/CCTV4.m3u8
CCTV5「IPV4」,http://23.237.228.134/live5/CCTV5.m3u8
CCTV5+「IPV4」,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV6「IPV4」,http://23.237.228.133/live/CCTV6_MG.m3u8
CCTV7「IPV4」,http://23.237.228.134/live5/CCTV7.m3u8
CCTV8「IPV4」,http://23.237.228.134/live5/CCTV8.m3u8
CCTV9「IPV4」,http://23.237.228.134/live5/CCTV9.m3u8
CCTV10「IPV4」,http://23.237.228.134/live3/CCTV10.m3u8
CCTV11「IPV4」,http://23.237.228.134/live3/CCTV11.m3u8
CCTV12「IPV4」,http://23.237.228.134/live3/CCTV12.m3u8
CCTV-13「IPV4」,http://23.237.228.134/live3/CCTV13.m3u8
CCTV14「IPV4」,http://23.237.228.134/live3/CCTV14.m3u8
CCTV15「IPV4」,http://23.237.228.134/live3/CCTV15.m3u8
CCTV17「IPV4」,http://23.237.228.134/live3/CCTV17.m3u8
CGTN频道,http://23.237.228.134/live3/CGTN.m3u8
#
东方卫视「IPV4」,http://23.237.228.134/live3/dongfang.m3u8
北京卫视「IPV4」,http://23.237.228.134/live3/beijing.m3u8
江苏卫视「IPV4」,http://23.237.228.134/live3/jiangsu.m3u8
湖南卫视「IPV4」,http://23.237.228.134/live6/hunan.m3u8
浙江卫视「IPV4」,http://23.237.228.134/live6/zhejiang.m3u8
湖北卫视「IPV4」,http://23.237.228.134/live6/hubei.m3u8
广东卫视「IPV4」,http://23.237.228.134/live6/guangdong.m3u8
广西卫视「IPV4」,http://23.237.228.134/live6/guangxi.m3u8
黑龙江卫视「IPV4」,http://23.237.228.134/live6/heilongjiang.m3u8
海南卫视「IPV4」,http://23.237.228.134/live6/hainan.m3u8
重庆卫视「IPV4」,http://23.237.228.134/live6/chongqing.m3u8
深圳卫视「IPV4」,http://23.237.228.134/live6/shenzhen.m3u8
四川卫视「IPV4」,http://23.237.228.134/live6/sichuan.m3u8
河南卫视「IPV4」,http://23.237.228.134/live6/henan.m3u8
东南卫视「IPV4」,http://23.237.228.134/live6/dongnan.m3u8
贵州卫视「IPV4」,http://23.237.228.134/live6/guizhou.m3u8
山东卫视「IPV4」,http://23.237.228.134/live8/shandong.m3u8
安徽卫视「IPV4」,http://23.237.228.134/live8/anhui.m3u8
辽宁卫视「IPV4」,http://23.237.228.134/live8/liaoning.m3u8
天津卫视「IPV4」,http://23.237.228.134/live8/tianjing.m3u8
江西卫视「IPV4」,http://23.237.228.134/live8/jiangxi.m3u8
河北卫视「IPV4」,http://23.237.228.134/live8/hebei.m3u8
陕西卫视「IPV4」,http://23.237.228.134/live8/shanxiws.m3u8
内蒙古卫视「IPV4」,http://23.237.228.134/live8/neimenggu.m3u8
云南卫视「IPV4」,http://23.237.228.134/live8/yunnan.m3u8
甘肃卫视「IPV4」,http://23.237.228.134/live8/gansu.m3u8
吉林卫视「IPV4」,http://23.237.228.134/live8/jilin.m3u8
青海卫视「IPV4」,http://23.237.228.134/live8/qinghai.m3u8
山西卫视「IPV4」,http://23.237.228.134/live8/shanxi.m3u8
# ======================= 源2
CCTV1「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2「IPV6」,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000005000031113/1.m3u8
CCTV2「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
